Event,RunTime,ADC,SiPM,DownTime,Temp
8827,77848833,457,118.95,14546434,27.67
8828,77878440,398,85.63,14552075,27.67
8829,77879904,399,87.3,14552269,27.67
8830,77881372,432,101.61,14552647,27.67
8831,77889612,412,92.93,14554153,27.67
8832,77902851,519,154.3,14556591,27.67
8833,77918315,487,132.65,14559621,27.67
8834,77919546,384,80.08,14559813,27.67
8835,77920493,371,73.82,14560005,27.67
8836,77937945,387,81.05,14563189,27.67
8837,77943926,339,62.98,14564323,27.67
8838,77945557,364,71.71,14564700,27.67
8839,77946965,384,80.08,14564893,27.67
8840,77949425,432,101.61,14565459,27.67
8841,77952613,396,85.28,14566026,27.67
8842,77955694,423,97.36,14566590,27.67
8843,77975766,739,495.61,14570333,27.67
8844,77982414,504,143.61,14571659,27.67
8845,77983619,300,52.79,14571852,27.67
8846,77996761,359,69.86,14574274,27.67
8847,77997609,216,36.85,14574468,27.67
8848,77998751,263,45.37,14574658,27.67
8849,78004334,355,68.3,14575781,27.67
8850,78007768,352,66.89,14576344,27.67
8851,78020796,376,76.43,14578771,27.67
8852,78021287,494,141.37,14578963,27.67
8853,78035855,334,61.44,14581608,27.67
8854,78048367,391,82.35,14584026,27.67
8855,78048871,67,18.51,14584031,27.67
8856,78083209,345,64.98,14590493,27.67
8857,78095853,428,101.58,14592724,27.67
8858,78099206,408,90.57,14593475,27.67
8859,78099996,489,138.11,14593480,27.67
8860,78106482,88,20.96,14594797,27.67
8861,78109235,368,72.93,14595355,27.67
8862,78115844,368,72.93,14596481,27.67
8863,78121426,428,101.58,14597608,27.67
8864,78134318,384,80.08,14600052,27.67
8865,78144351,384,80.08,14601927,27.67
8866,78152340,384,80.08,14603426,27.67
8867,78166760,472,125.87,14606042,27.67
8868,78182682,611,211.89,14609045,27.67
8869,78185594,369,73.42,14609616,27.67
8870,78197654,327,59.28,14611857,27.67
8871,78199576,455,117.03,14612235,27.67
8872,78200289,327,59.28,14612427,27.67
8873,78221837,96,21.67,14616336,27.67
8874,78226359,713,333.08,14617266,27.67
8875,78236244,457,118.95,14619157,27.67
8876,78253584,207,35.26,14622356,27.67
8877,78255779,377,76.28,14622730,27.67
8878,78260777,56,16.76,14623671,27.67
8879,78272569,408,90.57,14625889,27.67
8880,78273720,473,126.29,14626081,27.67
8881,78284525,399,87.3,14628146,27.67
8882,78298325,387,81.05,14630767,27.67
8883,78302482,423,97.36,14631518,27.67
8884,78308953,435,104.92,14632641,27.67
8885,78318449,414,93.93,14634516,27.67
8886,78320391,419,97.2,14634895,27.67
8887,78321750,463,119.23,14635087,27.67
8888,78322277,465,122.12,14635279,27.67
8889,78330328,415,95,14636785,27.67
8890,78339387,355,68.3,14638468,27.67
8891,78342374,376,76.43,14639031,27.67
8892,78348980,385,80.11,14640158,27.67
8893,78351486,492,134.92,14640722,27.67
8894,78371528,604,210.97,14644481,27.67
8895,78376457,423,97.36,14645430,27.67
8896,78384296,391,82.35,14646927,27.67
8897,78392380,319,57.64,14648423,27.67
8898,78393298,540,166.11,14648614,27.67
8899,78408904,408,90.57,14651450,27.67
8900,78421608,504,143.61,14653881,27.67
8901,78421814,370,73.62,14653886,27.67
8902,78424676,393,83.55,14654454,27.67
8903,78429882,318,57.28,14655394,27.67
8904,78438900,384,80.08,14657071,27.67
8905,78443582,352,66.89,14658007,27.67
8906,78447466,348,65.64,14658759,27.67
8907,78452836,504,143.61,14659692,27.67
8908,78460782,93,21.41,14661207,27.67
8909,78471927,323,58.48,14663246,27.67
8910,78474535,497,142.37,14663808,27.67
8911,78477634,435,104.92,14664380,27.67
8912,78488908,384,80.08,14666437,27.67
8913,78514397,504,143.61,14671299,27.67
8914,78517823,355,68.3,14671868,27.67
8915,78536468,460,119.54,14675404,27.67
8916,78548601,423,97.36,14677661,27.67
8917,78551574,390,82.7,14678226,27.67
8918,78571316,496,144.49,14681967,27.67
8919,78577360,401,87.91,14683106,27.67
8920,78591474,489,138.11,14685724,27.67
8921,78600966,396,85.28,14687421,27.67
8922,78604600,551,164.56,14688174,27.67
8923,78605320,359,69.86,14688367,27.67
8924,78613476,359,69.86,14689860,27.67
8925,78618973,600,203.87,14690794,27.67
8926,78629809,462,120.87,14692874,27.67
8927,78638776,393,83.55,14694568,27.67
8928,78643780,275,47.73,14695505,27.67
8929,78646619,441,109.77,14696067,27.67
8930,78653439,399,87.3,14697386,27.67
8931,78657473,391,82.35,14698139,27.67
8932,78658798,327,59.28,14698331,27.67
8933,78665878,371,73.82,14699636,27.67
8934,78675419,377,76.28,14701511,27.67
8935,78716451,480,130.21,14709179,27.67
8936,78728974,376,76.43,14711441,27.67
8937,78729922,492,134.92,14711632,27.67
8938,78732356,487,132.65,14712199,27.67
8939,78736961,327,59.28,14712954,27.67
8940,78737562,415,95,14713144,27.67
8941,78741769,368,72.93,14713895,27.67
8942,78766408,476,129.76,14718571,27.67
8943,78786406,511,149.39,14722328,27.56
