Event,RunTime,ADC,SiPM,DownTime,Temp
1986,16515396,670,272.62,3096538,27.02
1987,16520372,685,308.84,3097482,27.13
1988,16526835,499,141.24,3098613,27.34
1989,16534810,499,141.24,3100121,27.13
1990,16551348,572,183.73,3103318,27.13
1991,16555283,325,59.05,3104076,27.13
1992,16558918,487,132.65,3104636,27.13
1993,16561916,482,129.6,3105203,27.02
1994,16590440,485,135.76,3110624,27.34
1995,16600414,473,126.29,3112506,27.13
1996,16620416,480,130.21,3116252,27.13
1997,16633455,465,122.12,3118696,27.13
1998,16634253,547,162.22,3118887,27.02
1999,16637910,243,41.74,3119454,27.34
2000,16647492,480,130.21,3121304,26.91
2001,16649218,467,121.56,3121683,27.13
2002,16651927,483,132.6,3122062,27.34
2003,16678847,487,132.65,3127140,27.24
2004,16683189,650,261.02,3128081,26.91
2005,16707558,255,43.96,3132619,27.34
2006,16722823,486,135.98,3135395,27.02
2007,16727395,480,130.21,3136336,27.02
2008,16727555,371,73.82,3136341,27.13
2009,16729970,706,334.98,3136716,26.91
2010,16735527,179,30.55,3137854,27.34
2011,16759964,473,126.29,3142294,27.34
2012,16765886,536,160.18,3143420,27.24
2013,16775976,476,129.76,3145307,27.24
2014,16793199,671,277.06,3148666,26.91
2015,16800303,508,144.95,3149992,27.24
2016,16812368,515,147.53,3152250,27.34
2017,16812927,473,126.29,3152255,26.91
2018,16832619,524,150.73,3155997,27.13
2019,16838434,518,151.06,3157127,27.34
2020,16840455,489,138.11,3157508,27.34
2021,16842392,224,38.29,3157891,27.13
2022,16849610,487,132.65,3159190,26.91
2023,16857623,664,270.86,3160694,27.13
2024,16859565,492,134.92,3161076,27.34
2025,16864986,483,132.6,3162019,27.34
2026,16872327,467,121.56,3163524,27.13
2027,16895643,775,556.41,3167825,27.02
2028,16915270,569,185.56,3171583,27.34
2029,16916512,414,93.93,3171776,27.13
2030,16919576,127,24.18,3172342,27.34
2031,16956690,572,183.73,3179188,27.13
2032,16956711,527,155.96,3179193,26.91
2033,16982565,665,286.02,3184082,27.02
2034,16997475,481,129.57,3186910,26.91
2035,17009497,540,166.11,3189157,27.34
2036,17019293,583,201.26,3191038,27.34
2037,17027256,665,286.02,3192545,27.13
2038,17037361,207,35.26,3194425,27.13
2039,17050598,524,150.73,3196830,27.34
2040,17055303,499,141.24,3197771,27.34
2041,17056613,480,130.21,3197964,27.34
2042,17068500,483,132.6,3200214,26.81
2043,17081753,492,134.92,3202655,27.34
2044,17090478,560,175.34,3204351,27.13
2045,17122243,639,249.88,3210387,27.24
2046,17148273,496,144.49,3215292,27.13
2047,17191817,480,130.21,3223369,27.34
2048,17202813,480,130.21,3225438,27.34
2049,17211780,540,166.11,3227134,27.02
2050,17216466,671,277.06,3228082,27.34
2051,17217769,543,164.77,3228277,27.34
2052,17223699,492,134.92,3229407,26.91
2053,17226813,300,52.79,3229976,27.02
2054,17229742,499,141.24,3230534,26.91
2055,17230532,609,211.41,3230726,27.34
2056,17238258,492,134.92,3232231,27.13
2057,17238678,467,121.56,3232236,27.34
2058,17242550,679,318.29,3232988,27.13
2059,17248776,591,188.65,3234122,27.13
2060,17252488,492,134.92,3234879,27.24
2061,17265451,472,125.87,3237330,27.24
2062,17273255,504,143.61,3238833,27.13
2063,17273822,249,42.85,3238838,27.13
2064,17289666,496,144.49,3241804,27.34
2065,17314419,505,145.23,3246504,26.91
2066,17323684,492,134.92,3248195,27.13
2067,17352861,472,125.87,3253648,26.91
2068,17360482,359,69.86,3255143,26.91
2069,17371452,697,299.81,3257190,27.13
2070,17373725,472,125.87,3257572,27.34
2071,17375245,600,203.87,3257950,27.02
2072,17394627,719,344.94,3261521,26.91
2073,17412587,236,40.44,3264917,27.13
2074,17414887,505,145.23,3265291,27.34
2075,17428798,537,162.17,3267919,27.13
2076,17432317,688,328.69,3268678,27.02
2077,17440654,736,412.77,3270187,27.34
2078,17441685,455,117.03,3270379,27.13
2079,17474541,611,211.89,3276554,27.34
2080,17483300,192,32.67,3278247,27.34
2081,17488216,486,135.98,3279177,26.91
2082,17491486,461,121.42,3279744,27.34
2083,17500686,480,130.21,3281429,27.13
2084,17501817,472,125.87,3281621,26.91
2085,17502712,504,143.61,3281812,27.24
2086,17505887,537,162.17,3282380,27.34
2087,17508421,583,201.26,3282948,27.34
2088,17510850,519,154.3,3283327,26.91
2089,17512908,499,141.24,3283708,27.34
2090,17524221,482,129.6,3285965,27.13
2091,17526538,451,113.08,3286344,27.02
2092,17530523,736,412.77,3287096,27.02
2093,17539601,508,144.95,3288791,27.24
2094,17540648,540,166.11,3288983,27.13
2095,17548476,536,160.18,3290497,26.81
2096,17557308,519,154.3,3292196,27.24
2097,17558627,483,132.6,3292389,26.81
2098,17563249,481,129.57,3293332,27.34
2099,17565622,524,150.73,3293710,26.48
2100,17578738,748,436.69,3296154,26.91
2101,17583392,483,132.6,3297099,27.13
2102,17586771,486,135.98,3297668,26.81
2103,17588755,568,189.84,3298052,27.02
2104,17589530,773,581.36,3298246,27.24
2105,17603752,519,154.3,3300881,27.13
2106,17613566,515,147.53,3302758,26.91
2107,17624515,476,129.76,3304823,26.91
2108,17630920,526,158.17,3305944,26.91
2109,17632979,444,109.09,3306325,27.24
