Event,RunTime,ADC,SiPM,DownTime,Temp
264,109284,487,132.65,21985,24.44
265,109501,198,33.69,21990,24.44
266,110295,67,18.51,22178,24.44
267,110563,143,25.74,22183,24.44
268,111932,248,42.69,22371,24.44
269,112594,231,39.55,22560,24.44
270,112743,652,262.1,22565,24.44
271,112812,124,23.92,22570,24.44
272,112839,57,16.93,22575,24.44
273,113792,108,22.63,22763,24.44
274,113875,494,141.37,22768,24.44
275,115819,159,27.66,23145,24.44
276,116614,176,30.09,23333,24.44
277,116621,496,144.49,23338,24.44
278,116762,243,41.74,23343,24.44
279,117255,167,28.76,23532,24.44
280,117292,476,129.76,23537,24.44
281,117493,263,45.37,23542,24.44
282,118349,231,39.55,23731,24.44
283,118616,527,155.96,23736,24.44
284,119633,126,24.09,23928,24.44
285,119698,540,166.11,23933,24.44
286,119929,454,115.28,23938,24.44
287,120487,67,18.51,24129,24.44
288,120494,511,149.39,24134,24.44
289,120733,153,26.9,24139,24.44
290,120954,77,19.81,24144,24.44
291,121250,419,97.2,24332,24.44
292,121338,838,759.61,24337,24.44
293,121448,497,142.37,24342,24.44
294,121865,94,21.5,24347,24.44
295,122000,551,164.56,24351,24.44
296,122589,510,148.47,24539,24.44
297,122628,352,66.89,24544,24.44
298,122697,206,35.07,24549,24.44
299,122891,112,22.94,24554,24.44
300,123253,513,148.53,24742,24.44
301,123790,112,22.94,24747,24.44
302,123844,62,17.75,24752,24.44
303,124252,348,65.64,24940,24.44
304,124607,174,29.79,24945,24.44
305,125707,291,50.97,25133,24.44
306,125884,56,16.76,25138,24.44
307,126295,63,17.91,25326,24.44
308,126700,113,23.02,25331,24.44
309,126823,88,20.96,25336,24.44
310,126835,67,18.51,25341,24.44
311,127951,291,50.97,25529,24.44
312,128763,574,181.47,25718,24.44
313,128877,593,187.91,25723,24.44
314,129351,185,31.51,25915,24.44
315,129396,77,19.81,25920,24.44
316,129512,275,47.73,25925,24.44
317,129697,369,73.42,25930,24.44
318,129814,513,148.53,25935,24.44
319,130328,433,104.37,26126,24.44
320,130766,63,17.91,26131,24.44
321,131337,408,90.57,26319,24.44
322,131627,207,35.26,26324,24.44
323,131906,368,72.93,26329,24.44
324,132344,408,90.57,26518,24.44
325,132546,302,53.3,26523,24.44
326,132795,402,87.25,26528,24.44
327,133360,105,22.39,26718,24.44
328,133372,371,73.82,26723,24.44
329,133645,57,16.93,26728,24.44
330,133664,163,28.2,26733,24.44
331,134312,505,145.23,26921,24.44
332,134424,492,134.92,26926,24.44
333,134772,177,30.25,26931,24.44
334,135980,270,46.71,27118,24.44
335,136621,112,22.94,27307,24.44
336,136973,88,20.96,27312,24.44
337,137318,96,21.67,27500,24.44
338,137396,159,27.66,27505,24.44
339,137424,121,23.66,27510,24.44
340,137624,540,166.11,27515,24.44
341,137774,147,26.19,27520,24.44
342,138358,51,15.86,27708,24.44
343,139782,94,21.5,27896,24.44
344,140271,71,19.06,28083,24.44
345,140333,249,42.85,28088,24.44
346,140380,337,62.3,28093,24.44
347,141558,248,42.69,28282,24.44
348,141752,159,27.66,28287,24.44
349,142284,224,38.29,28475,24.44
350,142516,172,29.49,28480,24.44
351,142910,263,45.37,28485,24.44
352,143980,240,41.21,28674,24.44
353,144000,70,18.93,28679,24.44
354,144299,102,22.15,28868,24.44
355,144448,462,120.87,28873,24.44
356,144463,312,55.68,28878,24.44
357,146346,71,19.06,29251,24.44
358,146586,448,112.41,29256,24.44
359,146852,103,22.23,29261,24.44
360,147336,88,20.96,29449,24.44
361,147517,345,64.98,29454,24.44
362,147598,486,135.98,29459,24.44
363,148329,255,43.96,29650,24.44
364,148661,384,80.08,29655,24.44
365,148929,377,76.28,29660,24.44
366,149779,300,52.79,29850,24.44
367,149932,224,38.29,29855,24.44
368,150850,71,19.06,30044,24.44
369,150873,280,48.67,30049,24.44
370,151287,88,20.96,30238,24.44
371,151334,60,17.43,30243,24.44
372,151431,71,19.06,30248,24.44
373,151570,92,21.32,30253,24.44
374,151977,569,185.56,30258,24.44
375,152432,487,132.65,30450,24.44
376,152887,524,150.73,30455,24.44
377,152955,152,26.78,30460,24.44
378,153002,876,937.51,30465,24.44
379,153241,120,23.58,30653,24.44
380,153449,127,24.18,30658,24.44
381,153933,89,21.05,30663,24.44
382,154962,204,34.73,30850,24.44
383,155213,176,30.09,31038,24.44
384,155278,639,249.88,31043,24.44
385,156637,492,134.92,31235,24.44
386,156649,103,22.23,31240,24.44
387,156666,51,15.86,31245,24.44
388,156957,76,19.69,31258,24.44
389,157450,112,22.94,31446,24.44
390,158916,689,300.98,31634,24.44
391,158942,281,48.9,31639,24.44
392,159245,209,35.61,31828,24.44
393,159609,537,162.17,31833,24.44
394,159770,79,20.03,31838,24.44
395,160200,556,174.47,32026,24.44
396,160415,595,212.63,32031,24.44
397,161388,546,165.41,32223,24.44
398,161916,415,95,32228,24.44
399,163203,60,17.43,32603,24.44
400,164401,73,19.32,32791,24.44
401,164802,344,64.67,32796,24.44
402,165331,585,189.11,32985,24.44
403,165342,467,121.56,32990,24.44
404,165582,112,22.94,32995,24.44
405,166445,231,39.55,33183,24.44
406,166462,50,15.67,33188,24.44
407,166814,368,72.93,33193,24.44
408,167641,135,24.92,33382,24.44
409,168311,224,38.29,33570,24.44
410,168761,892,1186.63,33575,24.44
411,169343,316,56.81,33767,24.44
412,169615,89,21.05,33772,24.44
